id;judges;year;quarter;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
158;56;2018;3;6;25;5;1;;1;1;2;;2;82;;125;;
159;40;2018;3;;106;23;;3;6;4;;;2;18;;162;9;
160;44;2018;3;;85;11;;1;3;2;3;;17;37;;159;2;
161;41;2018;4;;60;13;;2;4;1;;;2;22;;104;4;
162;39;2018;4;21;;10;1;;;2;2;1;6;98;;141;12;
163;38;2018;4;15;;12;;;;1;1;;4;25;;58;3;
164;37;2018;4;;54;13;;1;2;5;3;;7;27;;112;;
165;42;2018;4;;34;8;;2;1;1;4;;;48;;98;8;
166;43;2018;4;;67;10;;;3;6;2;;2;25;;115;2;
167;45;2018;4;18;;9;1;;;1;3;1;;160;;193;7;
168;56;2018;4;5;24;1;;;;3;;;2;38;;73;;
169;40;2018;4;;62;8;;4;12;;3;;2;19;;110;4;
170;44;2018;4;;53;22;;2;10;2;6;;;19;;114;3;
171;46;2018;4;6;;5;;;;2;2;1;6;98;;120;11;
172;41;2017;1;;88;21;;;4;1;;;5;3;;122;;
173;39;2017;1;9;5;25;1;;;2;1;2;10;16;;71;;
174;38;2017;1;16;2;20;;;;2;2;1;5;11;;59;;
175;37;2017;1;;60;35;;2;10;2;5;;3;5;;122;;
176;42;2017;1;;62;10;;1;10;3;1;;1;3;;91;;
177;43;2017;1;;77;29;;2;3;3;5;;6;;;125;;
178;45;2017;1;12;3;16;1;;;1;3;3;7;14;;60;;
179;56;2017;1;11;90;8;1;2;4;2;1;;2;3;;124;;
180;57;2017;1;10;2;17;;;;1;1;5;;17;;53;;
181;40;2017;1;;72;16;;;4;1;;;;4;;97;;
182;44;2017;1;;88;24;;3;6;;2;;11;5;;139;;
183;41;2017;2;;91;26;;2;15;3;3;;8;4;;152;1;
184;39;2017;2;18;4;22;;;;1;2;2;14;8;;71;9;
185;38;2017;2;12;5;6;;;;;;6;;6;;35;1;
186;37;2017;2;;93;4;;2;9;;;;;3;;111;3;
187;42;2017;2;;84;29;;;12;;4;;6;5;;140;6;
188;43;2017;2;;89;20;;1;7;1;1;;4;6;;129;5;
189;45;2017;2;5;4;14;1;;;3;2;1;8;8;;46;7;
190;57;2017;2;11;5;15;1;;;1;1;1;1;5;;41;6;
191;40;2017;2;;91;34;;2;6;6;1;;7;6;;153;3;
192;44;2017;2;;59;35;;2;11;2;5;;6;5;;125;2;
193;41;2017;3;;67;9;;1;5;1;1;;3;1;;88;5;
194;39;2017;3;9;4;21;;;;;3;1;13;8;;59;8;
195;38;2017;3;9;10;38;;;;2;4;;10;5;;78;1;
196;37;2017;3;;85;32;;1;15;1;5;;12;3;;154;7;
197;42;2017;3;;86;19;;2;8;;1;;1;1;;118;5;
198;43;2017;3;;73;19;;1;11;;2;;6;5;;117;7;
199;45;2017;3;10;5;20;;;;1;1;1;7;9;;54;3;
200;56;2017;3;8;33;3;;;5;;;;7;;;56;6;
201;57;2017;3;19;9;31;;;;2;3;3;10;8;;85;8;
202;40;2017;3;;78;20;;2;4;;1;;24;;;129;6;
203;44;2017;3;;66;12;;3;3;4;2;;;2;;92;7;
204;41;2017;4;;65;23;;;5;;4;;1;;;98;4;
205;39;2017;4;6;6;22;2;;;7;2;;1;7;;53;;
206;38;2017;4;20;;22;;;;1;1;2;8;9;;63;4;
207;37;2017;4;;70;12;;2;8;1;1;;1;2;;97;13;
208;42;2017;4;;65;16;;2;6;;2;;2;;;93;5;
209;43;2017;4;;72;39;;2;5;2;;;3;5;;128;7;
210;45;2017;4;13;3;29;1;;;3;6;1;10;8;;74;8;
211;56;2017;4;6;90;1;;1;4;1;2;;5;2;;112;;
212;57;2017;4;8;2;16;1;;;;2;2;1;12;;44;;
213;40;2017;4;;79;26;;1;8;4;2;;4;4;;128;5;
214;44;2017;4;;68;21;;2;8;3;1;;5;3;;111;9;
